#At	time	x	process	y	state	arr	w	total	z	remain	y	wait	k
At	time	1	process	1	started	arr	1	total	20	remain	20	wait	0
At	time	5	process	2	started	arr	2	total	20	remain	20	wait	3
At	time	14	process	2	stopped	arr	2	total	20	remain	11	wait	3
At	time	15	process	1	resumed	arr	1	total	20	remain	17	wait	11
At	time	18	process	1	stopped	arr	1	total	20	remain	14	wait	11
At	time	19	process	2	resumed	arr	2	total	20	remain	11	wait	8
At	time	22	process	2	stopped	arr	2	total	20	remain	8	wait	8
At	time	23	process	1	resumed	arr	1	total	20	remain	14	wait	16
At	time	26	process	1	stopped	arr	1	total	20	remain	11	wait	16
At	time	27	process	2	resumed	arr	2	total	20	remain	8	wait	13
At	time	30	process	2	stopped	arr	2	total	20	remain	5	wait	13
At	time	31	process	1	resumed	arr	1	total	20	remain	11	wait	21
At	time	34	process	1	stopped	arr	1	total	20	remain	8	wait	21
At	time	35	process	2	resumed	arr	2	total	20	remain	5	wait	18
At	time	38	process	2	stopped	arr	2	total	20	remain	2	wait	18
At	time	39	process	1	resumed	arr	1	total	20	remain	8	wait	26
At	time	42	process	1	stopped	arr	1	total	20	remain	5	wait	26
At	time	43	process	2	resumed	arr	2	total	20	remain	2	wait	23
At	time	45	process	2	finished	arr	2	total	20	remain	0	wait	23	TA	43	WTA	2.15
At	time	46	process	1	resumed	arr	1	total	20	remain	5	wait	30
At	time	51	process	1	finished	arr	1	total	20	remain	0	wait	30	TA	50	WTA	2.50
